term,definition
seminiferous tubules,tube structures within the testes where spermatogenesis occurs.
sensation,nervous system function that receives information from the environment and translates it into the electrical signals of nervous tissue.
sensitisation,first exposure to an antigen.
sensor,"(also, receptor) reports a monitored physiological value to the control centre."
sensory homunculus,topographic representation of the body within the somatosensory cortex demonstrating the correspondence between neurons processing stimuli and sensitivity.
sensory modality,a particular system for interpreting and perceiving environmental stimuli by the nervous system.
sepsis,"(also, septicaemia) organismal-level inflammatory response to a massive infection."
septal cartilage,flat cartilage structure that forms the anterior portion of the nasal septum.
septic shock,"(also, blood poisoning) type of shock that follows a massive infection resulting in organism-wide inflammation."
septum,(plural = septa) walls or partitions that divide the heart into chambers.
septum primum,flap of tissue in the foetus that covers the foramen ovale within a few seconds after birth.
seroconversion,clearance of pathogen in the serum and the simultaneous rise of serum antibody.
serous gland,group of cells within the serous membrane that secrete a lubricating substance onto the surface.
serous membrane,membrane that covers organs and reduces friction; also referred to as serosa.
serosa,membrane that covers organs and reduces friction; also referred to as serous membrane.
Sertoli cells,cells that support germ cells through the process of spermatogenesis; a type of sustentacular cell.
serum,blood plasma that does not contain clotting factors.
sesamoid bone,"small, round bone embedded in a tendon; protects the tendon from compressive forces."
set point,"ideal value for a physiological parameter; the level or small range within which a physiological parameter such as blood pressure is stable and optimally healthful, that is, within its parameters of homeostasis."
severe combined immunodeficiency disease (SCID),genetic mutation that affects both T cell and B cell arms of the immune response.
shaft of the femur,cylindrically shaped region that forms the central portion of the femur.
shaft of the fibula,"elongated, slender portion located between the expanded ends of the fibula."
shaft of the humerus,"narrow, elongated, central region of the humerus."
shaft of the radius,"narrow, elongated, central region of the radius."
shaft of the tibia,"triangular-shaped, central portion of the tibia."
shaft of the ulna,"narrow, elongated, central region of the ulna."
short bone,"cube-shaped bone that is approximately equal in length, width, and thickness; provides limited motion."
shunt,circulatory shortcut that diverts the flow of blood from one region to another.
sickle cell disease,"(also, sickle cell anaemia) inherited blood disorder in which haemoglobin molecules are malformed, leading to the breakdown of RBCs that take on a characteristic sickle shape."
sigmoid colon,"end portion of the colon, which terminates at the rectum."
sigmoid sinuses,enlarged veins that receive blood from the transverse sinuses; flow through the jugular foramen and into the internal jugular vein.
simple columnar epithelium,tissue that consists of a single layer of column-like cells; promotes secretion and absorption in tissues and organs.
simple cuboidal epithelium,tissue that consists of a single layer of cube-shaped cells; promotes secretion and absorption in ducts and tubules.
simple squamous epithelium,tissue that consists of a single layer of flat scale-like cells; promotes diffusion and filtration across surface.
sinoatrial (SA) node,"known as the pacemaker, a specialised clump of myocardial conducting cells located in the superior portion of the right atrium that has the highest inherent rate of depolarisation that then spreads throughout the heart."
sinus rhythm,normal contractile pattern of the heart.
sinus venosus,"develops into the posterior portion of the right atrium, the SA node, and the coronary sinus."
sinusoid capillary,"rarest type of capillary, which has extremely large intercellular gaps in the basement membrane in addition to clefts and fenestrations; found in areas such as the bone marrow and liver where passage of large molecules occurs."
sister chromatid,"one of a pair of identical chromosomes, formed during DNA replication."
size exclusion,principle of selectively allowing ions through a channel on the basis of their relative size.
skeleton,bones of the body.
skeletal muscle,"usually attached to bone, under voluntary control, each cell is a fibre that is multinucleated and striated."
skeletal muscle pump,effect on increasing blood pressure within veins by compression of the vessel caused by the contraction of nearby skeletal muscle.
skeletal system,"organ system composed of bones and cartilage that provides for movement, support, and protection."
skull,"bony structure that forms the head, face, and jaws, and protects the brain; consists of 22 bones."
slow oxidative (SO),muscle fibre that primarily uses aerobic respiration.
small cardiac vein,parallels the right coronary artery and drains blood from the posterior surfaces of the right atrium and ventricle; drains into the great cardiac vein.
small intestine,section of the gastrointestinal tract where most digestion and absorption occurs.
small saphenous vein,"located on the lateral surface of the leg; drains blood from the superficial regions of the lower leg and foot, and leads to the popliteal vein."
smooth muscle,"under involuntary control, moves internal organs, cells contain a single nucleus, are spindle-shaped, and do not appear striated; each cell is a fibre."
sodium-potassium pump,"(also, Na+/K+ ATP-ase) membrane-embedded protein pump that uses ATP to move Na+ out of a cell and K+ into the cell."
soft palate,posterior region of the bottom portion of the nasal cavity that consists of skeletal muscle.
soleal line,"small, diagonally running ridge located on the posterior side of the proximal tibia."
solitary nucleus,medullar nucleus that receives taste information from the facial and glossopharyngeal nerves.
soma,"in neurons, that portion of the cell that contains the nucleus; the cell body, as opposed to the cell processes (axons and dendrites)."
somatic cell,all cells of the body excluding gamete cells.
somatic nervous system (SNS),"functional division of the nervous system that is concerned with conscious perception, voluntary movement, and skeletal muscle reflexes."
somatosensation,"general senses related to the body, usually thought of as the senses of touch, which would include pain, temperature, and proprioception."
somites,blocks of paraxial mesoderm cells.
spatial summation,combination of graded potentials across the neuronal cell membrane caused by signals from separate presynaptic elements that add up to initiate an action potential.
special sense,"any sensory system associated with a specific organ structure, namely smell, taste, sight, hearing, and balance."
specific gravity,"weight of a liquid compared to pure water, which has a specific gravity of 1.0; any solute added to water will increase its specific gravity."
sperm,"(also, spermatozoon) male gamete."
spermatic cord,bundle of nerves and blood vessels that supplies the testes; contains ductus deferens.
spermatid,immature sperm cells produced by meiosis II of secondary spermatocytes.
spermatocyte,cell that results from the division of spermatogonium and undergoes meiosis I and meiosis II to form spermatids.
spermatogenesis,"formation of new sperm, occurs in the seminiferous tubules of the testes."
spermatogonia,(singular = spermatogonium) diploid precursor cells that become sperm.
spermiogenesis,transformation of spermatids to spermatozoa during spermatogenesis.
S phase,stage of the cell cycle during which DNA replication occurs.
sphenoid bone,unpaired bone that forms the central base of skull.
sphenoid sinus,air-filled space located within the sphenoid bone; most posterior of the paranasal sinuses.
sphygmomanometer,blood pressure cuff attached to a device that measures blood pressure.
spinal accessory nerve,eleventh cranial nerve; responsible for contraction of neck muscles.
spinal cavity,division of the dorsal cavity that houses the spinal cord; also referred to as vertebral cavity.
spinal cord,organ of the central nervous system found within the vertebral cavity and connected with the periphery through spinal nerves; mediates reflex behaviours.
spinal nerve,one of 31 nerves connected to the spinal cord.
spinal trigeminal nucleus,component of the trigeminal nuclei that is found in the medulla.
spine of the scapula,prominent ridge passing mediolaterally across the upper portion of the posterior scapular surface.
spinothalamic tract,ascending tract of the spinal cord associated with pain and temperature sensations.
spinous process,unpaired bony process that extends posteriorly from the vertebral arch of a vertebra.
spiral ganglion,location of neuronal cell bodies that transmit auditory information along the eighth cranial nerve.
spleen,secondary lymphoid organ that filters pathogens from the blood (white pulp) and removes degenerating or damaged blood cells (red pulp).
splenic artery,branch of the celiac trunk; supplies blood to the spleen.
spliceosome,complex of enzymes that serves to splice out the introns of a pre-mRNA transcript.
splicing,"the process of modifying a pre-mRNA transcript by removing certain, typically non-coding, regions."
spongy bone,"(also, cancellous bone) trabeculated osseous tissue that supports shifts in weight distribution."
spontaneous depolarisation,"(also, prepotential depolarisation) the mechanism that accounts for the autorhythmic property of cardiac muscle; the membrane potential increases as sodium ions diffuse through the always-open sodium ion channels and causes the electrical potential to rise."
squamous cell carcinoma,type of skin cancer that originates from the stratum spinosum of the epidermis.
squamous suture,joint that unites the parietal bone to the squamous portion of the temporal bone on the lateral side of the skull.
stage of exhaustion,stage three of the general adaptation syndrome; the body’s long-term response to stress mediated by the hormones of the adrenal cortex.
stage of resistance,stage two of the general adaptation syndrome; the body’s continued response to stress after stage one diminishes.
stapes,"(also, stirrup) ossicle of the middle ear that is attached to the inner ear."
starch –,storage carbohydrate in plants.
stem cell,"cell that is oligo-, multi-, or pluripotency that has the ability to produce additional stem cells rather than becoming further specialised."
stereocilia,array of apical membrane extensions in a hair cell that transduce movements when they are bent.
sternal angle,junction line between manubrium and body of the sternum and the site for attachment of the second rib to the sternum.
sternal end of the clavicle,medial end of the clavicle that articulates with the manubrium of the sternum.
sternoclavicular joint,articulation between the manubrium of the sternum and the sternal end of the clavicle; forms the only bony attachment between the pectoral girdle of the upper limb and the axial skeleton.
sternum,flattened bone located at the centre of the anterior chest.
steroid –,type of lipid comprised of four fused hydrocarbon rings forming a planar structure.
stimulus,an event in the external or internal environment that registers as activity in a sensory neuron.
stomach,"gastrointestinal tract organ that contributes to chemical and mechanical digestion of food from the oesophagus before releasing it, as chyme, to the small intestine."
straight sinus,enlarged vein that drains blood from the brain; receives most of the blood from the great cerebral vein and flows into the left or right transverse sinus.
stratified columnar epithelium,"tissue that consists of two or more layers of column-like cells, contains glands and is found in some ducts."
stratified cuboidal epithelium,"tissue that consists of two or more layers of cube-shaped cells, found in some ducts."
stratified squamous epithelium,tissue that consists of multiple layers of cells with the most apical being flat scale-like cells; protects surfaces from abrasion.
stratum basale,"deepest layer of the epidermis, made of epidermal stem cells."
stratum corneum,most superficial layer of the epidermis.
stratum granulosum,layer of the epidermis superficial to the stratum spinosum.
stratum lucidum,"layer of the epidermis between the stratum granulosum and stratum corneum, found only in thick skin covering the palms, soles of the feet, and digits."
stratum spinosum,"layer of the epidermis superficial to the stratum basale, characterised by the presence of desmosomes."
stress-relaxation response,relaxation of smooth muscle tissue after being stretched.
stretch mark,mark formed on the skin due to a sudden growth spurt and expansion of the dermis beyond its elastic limits.
stretch reflex,response to activation of the muscle spindle stretch receptor that causes contraction of the muscle to maintain a constant length.
striation,alignment of parallel actin and myosin filaments which form a banded pattern.
striatum,"the caudate and putamen collectively, as part of the basal nuclei, which receive input from the cerebral cortex."
stroke volume (SV),"amount of blood pumped by each ventricle per contraction; also, the difference between EDV and ESV."
styloid process,"downward projecting, elongated bony process located on the inferior aspect of the skull."
styloid process of the radius,pointed projection located on the lateral end of the distal radius.
styloid process of the ulna,"short, bony projection located on the medial end of the distal ulna."
stylomastoid foramen,"opening located on inferior skull, between the styloid process and mastoid process."
subacromial bursa,bursa that protects the supraspinatus muscle tendon and superior end of the humerus from rubbing against the acromion of the scapula.
subarachnoid space,space between the arachnoid mater and pia mater that contains CSF and the fibrous connections of the arachnoid trabeculae.
subclavian artery,"right subclavian arises from the brachiocephalic artery, whereas the left subclavian artery arises from the aortic arch; gives rise to the internal thoracic, vertebral, and thyrocervical arteries; supplies blood to the arms, chest, shoulders, back, and central nervous system."
subclavian vein,located deep in the thoracic cavity; becomes the axillary vein as it enters the axillary region; drains the axillary and smaller local veins near the scapular region; leads to the brachiocephalic vein.
subcortical nucleus,"all the nuclei beneath the cerebral cortex, including the basal nuclei and the basal forebrain."
subcutaneous bursa,bursa that prevents friction between skin and an underlying bone.
sublingual gland,one of a pair of major salivary glands located beneath the tongue.
submandibular gland,one of a pair of major salivary glands located in the floor of the mouth.
submodality,"specific sense within a broader major sense such as sweet as a part of the sense of taste, or colour as a part of vision."
submucosa,layer of dense connective tissue in the gastrointestinal tract wall that binds the overlying mucosa to the underlying muscularis.
submuscular bursa,bursa that prevents friction between bone and a muscle or between adjacent muscles.
submucosal plexus,(plexus of Meissner) nerve supply that regulates activity of glands and smooth muscle.
subpubic angle,inverted V-shape formed by the convergence of the right and left ischiopubic rami; this angle is greater than 80 degrees in females and less than 70 degrees in males.
subscapular bursa,bursa that prevents rubbing of the subscapularis muscle tendon against the scapula.
subscapular fossa,broad depression located on the anterior (deep) surface of the scapula.
subscapular vein,drains blood from the subscapular region and leads to the axillary vein.
subtalar joint,articulation between the talus and calcaneus bones of the foot; allows motions that contribute to inversion/eversion of the foot.
substantia nigra pars compacta,nuclei within the basal nuclei that release dopamine to modulate the function of the striatum; part of the motor pathway.
substantia nigra pars reticulata,nuclei within the basal nuclei that serve as an output centre of the nuclei; part of the motor pathway.
subtendinous bursa,bursa that prevents friction between bone and a muscle tendon.
subthalamus,nucleus within the basal nuclei that is part of the indirect pathway.
sucrase,brush border enzyme that breaks down sucrose into glucose and fructose.
sudoriferous gland,sweat gland.
sulcus,(plural = sulci) fat-filled groove visible on the surface of the heart; coronary vessels are also located in these areas.
summate,"to add together, as in the cumulative change in postsynaptic potentials toward reaching threshold in the membrane, either across a span of the membrane or over a certain amount of time."
superficial,describes a position nearer to the surface of the body.
superficial burns,superficial burn that injures only the epidermis.
superior,describes a position above or higher than another part of the body proper; also referred to as cranial.
superior angle of the scapula,corner of the scapula between the superior and medial borders of the scapula.
superior articular process,bony process that extends upward from the vertebral arch of a vertebra that articulates with the inferior articular process of the next higher vertebra.
superior articular process of the sacrum,paired processes that extend upward from the sacrum to articulate (join) with the inferior articular processes from the L5 vertebra.
superior border of the scapula,superior margin of the scapula.
superior colliculus,"half of the midbrain tectum that is responsible for aligning visual, auditory, and somatosensory spatial perceptions."
superior oblique,extraocular muscle responsible for medial rotation of the eye.
superior pubic ramus,narrow segment of bone that passes laterally from the pubic body to join the ilium.
superior rectus,extraocular muscle responsible for looking up.
superior rotation,movement of the scapula during upper limb abduction in which the glenoid cavity of the scapula moves in an upward direction as the medial end of the scapular spine moves in a downward direction.
superior sagittal sinus,dural sinus that runs along the top of the longitudinal fissure and drains blood from the majority of the outer cerebrum.
supplemental motor area,cortical area anterior to the primary motor cortex that is responsible for planning movements.
suprachiasmatic nucleus,hypothalamic target of the retina that helps to establish the circadian rhythm of the body based on the presence or absence of daylight.
supraglenoid tubercle,small bump located at the superior margin of the glenoid cavity.
suprascapular notch,"small notch located along the superior border of the scapula, medial to the coracoid process."
supraspinous fossa,"narrow depression located on the posterior scapula, superior to the spine."
supraspinous ligament,ligament that interconnects the spinous processes of the thoracic and lumbar vertebrae.
superior mesenteric artery,"branch of the abdominal aorta; supplies blood to the small intestine (duodenum, jejunum, and ileum), the pancreas, and a majority of the large intestine."
superior nasal concha,smallest and most superiorly located of the nasal conchae; formed by the ethmoid bone.
superior nuchal line,paired bony lines on the posterior skull that extend laterally from the external occipital protuberance.
superior orbital fissure,irregularly shaped opening between the middle cranial fossa and the posterior orbit.
superior phrenic artery,branch of the thoracic aorta; supplies blood to the superior surface of the diaphragm.
superior sagittal sinus,enlarged vein located midsagittally between the meningeal and periosteal layers of the dura mater within the falx cerebri; receives most of the blood drained from the superior surface of the cerebrum and leads to the inferior jugular vein and the vertebral vein.
superior vena cava,large systemic vein that returns blood to the heart from the superior portion of the body.
supine,face up.
supinated position,forearm position in which the palm faces anteriorly (anatomical position).
supination,forearm motion that moves the palm of the hand from the palm backward to the palm forward position.
supportive connective tissue,type of connective tissue that provides strength to the body and protects soft tissue.
supraorbital foramen,"opening located on anterior skull, at the superior margin of the orbit."
supraorbital margin,superior margin of the orbit.
surgical neck,"region of the humerus where the expanded, proximal end joins with the narrower shaft."
suspensory ligaments,bands of connective tissue that suspend the breast onto the chest wall by attachment to the overlying dermis.
sustentaculum tali,bony ledge extending from the medial side of the calcaneus bone.
suture,junction line at which adjacent bones of the skull are united by fibrous connective tissue.
sympathetic chain ganglia,autonomic ganglia in a chain along the anterolateral aspect of the vertebral column that are responsible for contributing to homeostatic mechanisms of the autonomic nervous system.
symphysis,type of cartilaginous joint where the bones are joined by fibrocartilage.
synapse,"narrow junction across which a chemical signal passes from neuron to the next, initiating a new electrical signal in the target cell."
synaptic cleft,space between a nerve (axon) terminal and a motor end-plate.
synaptic end bulb,swelling at the end of an axon where neurotransmitter molecules are released onto a target cell across a synapse.
synarthrosis,immobile or nearly immobile joint.
synchondrosis,type of cartilaginous joint where the bones are joined by hyaline cartilage.
syncytiotrophoblast,superficial cells of the trophoblast that fuse to form a multinucleated body that digests endometrial cells to firmly secure the blastocyst to the uterine wall.
syndesmosis,"type of fibrous joint in which two separated, parallel bones are connected by an interosseous membrane."
synaptic cleft,small gap between cells in a chemical synapse where neurotransmitter diffuses from the presynaptic element to the postsynaptic element.
synostosis,site at which adjacent bones or bony components have fused together.
synovial fluid,"thick, lubricating fluid that fills the interior of a synovial joint."
synovial joint,joint at which the articulating surfaces of the bones are located within a joint cavity formed by an articular capsule.
synovial membrane,"connective tissue membrane that lines the cavities of freely movable joints, producing synovial fluid for lubrication."
systemic anatomy,study of the structures that contribute to specific body systems.
systemic circuit,blood flow to and from virtually all of the tissues of the body.
systemic nerve,nerve in the periphery distal to a nerve plexus or spinal nerve.
systemic oedema,"increased fluid retention in the interstitial spaces and cells of the body; can be seen as swelling over large areas of the body, particularly the lower extremities."
systole,period of time when the heart muscle is contracting.
systolic pressure,larger number recorded when measuring arterial blood pressure; represents the maximum value following ventricular contraction.
talocrural joint,"ankle joint; articulation between the talus bone of the foot and medial malleolus of the tibia, distal tibia, and lateral malleolus of the fibula; a uniaxial hinge joint that allows only for dorsiflexion and plantar flexion of the foot."
talus,tarsal bone that articulates superiorly with the tibia and fibula at the ankle joint; also articulates inferiorly with the calcaneus bone and anteriorly with the navicular bone.
target heart rate,range in which both the heart and lungs receive the maximum benefit from an aerobic workout.
tarsal bone,"one of the seven bones that make up the posterior foot; includes the calcaneus, talus, navicular, cuboid, medial cuneiform, intermediate cuneiform, and lateral cuneiform bones."
taste buds,structures within a papilla on the tongue that contain gustatory receptor cells.
T cell,"lymphocyte that acts by secreting molecules that regulate the immune system or by causing the destruction of foreign cells, viruses, and cancer cells."
T cell-dependent antigen,"antigen that binds to B cells, which requires signals from T cells to make antibody."
T cell-independent antigen,"binds to B cells, which do not require signals from T cells to make antibody."
T cell tolerance,process during T cell differentiation where most T cells that recognise antigens from one’s own body are destroyed.
tectorial membrane,"component of the organ of Corti that lays over the hair cells, into which the stereocilia are embedded."
tectospinal tract,extrapyramidal connections between the superior colliculus and spinal cord.
tectum,"region of the midbrain, thought of as the roof of the cerebral aqueduct, which is subdivided into the inferior and superior colliculi."
tegmentum,"region of the midbrain, thought of as the floor of the cerebral aqueduct, which continues into the pons and medulla as the floor of the fourth ventricle."
telencephalon,secondary vesicle of the embryonic brain that develops into the cerebrum.
telogen,resting phase of the hair growth cycle initiated with catagen and terminated by the beginning of a new anagen phase of hair growth.
telophase,"final stage of mitosis (and meiosis), preceding cytokinesis, characterised by the formation of two new daughter nuclei."
temporal bone,"paired bones that form the lateral, inferior portions of the skull, with squamous, mastoid, and petrous portions."
temporal fossa,"shallow space on the lateral side of the skull, above the level of the zygomatic arch."
temporal lobe,region of the cerebral cortex directly beneath the temporal bone of the cranium.
temporal process of the zygomatic bone,short extension from the zygomatic bone that forms the anterior portion of the zygomatic arch.
temporal summation,combination of graded potentials at the same location on a neuron resulting in a strong signal from one input.
temporal vein,drains blood from the temporal region and leads to the external jugular vein.
temporomandibular joint (TMJ),"articulation between the condyle of the mandible and the mandibular fossa and articular tubercle of the temporal bone of the skull; allows for depression/elevation (opening/closing of mouth), protraction/retraction, and side-to-side motions of the mandible."
tendon,dense connective tissue structure that anchors a muscle to bone.
tendon sheath,connective tissue that surrounds a tendon at places where the tendon crosses a joint; contains a lubricating fluid to prevent friction and allow smooth movements of the tendon.
teniae coli,one of three smooth muscle bands that make up the longitudinal muscle layer of the muscularis in all the large intestine except the terminal end.
terminal ganglion,autonomic ganglia that are near or within the walls of organs that are responsible for contributing to homeostatic mechanisms of the autonomic nervous system.
tertiary follicles,"(also, antral follicles) ovarian follicles with a primary or secondary oocyte, multiple layers of granulosa cells, and a fully formed antrum."
tertiary structure –,"a protein’s three-dimensional conformation, including interactions between secondary structural elements; formed from interactions between amino acid side chains."
testes,(singular = testis) male gonads.
testicular artery,branch of the abdominal aorta; will ultimately travel outside the body cavity to the testes and form one component of the spermatic cord.
testicular vein,drains the testes and forms part of the spermatic cord; the right testicular vein empties directly into the inferior vena cava and the left testicular vein empties into the left renal vein.
testosterone,"steroid hormone secreted by the male testes and important in the maturation of sperm cells, growth and development of the male reproductive system, and the development of male secondary sex characteristics."
tetanus,a continuous fused contraction.
thalamus,region of the central nervous system that acts as a relay for sensory pathways.
thalassaemia,inherited blood disorder in which the life-span of RBCs is significantly reduced due to unbalanced production of globin chains.
theca cells,androgen-producing cells in a maturing ovarian follicle.
thermoreceptor,type of sensory receptor capable of transducing temperature stimuli into neural action potentials.
thick filament,"the thick myosin strands and their multiple heads projecting from the centre of the sarcomere toward, but not all to way to, the Z-discs."
thigh,portion of the lower limb located between the hip and knee joints.
thin filament,thin strands of actin and its troponin-tropomyosin complex projecting from the Z-discs toward the centre of the sarcomere.
third ventricle,portion of the ventricular system that is in the region of the diencephalon.
thoracic aorta,portion of the descending aorta superior to the aortic hiatus.
thoracic cage,consists of 12 pairs of ribs and sternum.
thoracic cavity,"division of the anterior (ventral) cavity that houses the heart, lungs, oesophagus, and trachea."
thoracic curve,anteriorly concave curvature of the thoracic vertebral column region; a primary curve of the vertebral column.
thoracic duct,"large duct that drains lymph from the lower limbs, left thorax, left upper limb, and the left side of the head."
thoracic wall compliance,ability of the thoracic wall to stretch while under pressure.
thoracic vertebrae,twelve vertebrae numbered as T1–T12 that are located in the thoracic region (upper back) of the vertebral column.
thoroughfare channel,"continuation of the metarteriole that enables blood to bypass a capillary bed and flow directly into a venule, creating a vascular shunt."
threshold,membrane voltage at which an action potential is initiated.
thrombin,enzyme essential for conversion of soluble plasma fibrinogen to insoluble fibrin.
thrombosis,excessive clot formation.
thrombus,"aggregation of fibrin, platelets, and erythrocytes in an intact artery or vein."
thrombocytes,"platelets, one of the formed elements of blood that consists of cell fragments broken off from megakaryocytes."
thrombocytopenia,"condition in which there are too few platelets, resulting in abnormal bleeding (haemophilia)."
thrombocytosis,"condition in which there are too many platelets, resulting in abnormal clotting (thrombosis)."
thrombopoietin,hormone secreted by the liver and kidneys that prompts the development of
thymocyte,immature T cell found in the thymus.
thymosins,hormones produced and secreted by the thymus that play an important role in the development and differentiation of T cells.
thymus,primary lymphoid organ; where T lymphocytes proliferate and mature megakaryocytes into thrombocytes (platelets).
thyrocervical artery,"arises from the subclavian artery; supplies blood to the thyroid, the cervical region, the upper back, and shoulder."
thyroid cartilage,largest piece of cartilage that makes up the larynx and consists of two lamina.
thyroid gland,large endocrine gland responsible for the synthesis of thyroid hormones.
thyroid-stimulating hormone (TSH),anterior pituitary hormone that triggers secretion of thyroid hormones by the thyroid gland (also called thyrotropin).
thyroxine,"(also, tetraiodothyronine, T4) amino acid–derived thyroid hormone that is more abundant but less potent than T3 and often converted to T3 by target cells."
Th1 cells,cells that secrete cytokines that enhance the activity of macrophages and other cells.
Th2 cells,cells that secrete cytokines that induce B cells to differentiate into antibody-secreting plasma cells.
tibia,"shin bone; the large, weight-bearing bone located on the medial side of the leg."
tibial collateral ligament,extrinsic ligament of knee joint that spans from the medial epicondyle of the femur to the medial tibia; resists hyperextension and rotation of extended knee.
tibial nerve,systemic nerve of the posterior leg that begins as part of the sciatic nerve.
tibial tuberosity,elevated area on the anterior surface of the proximal tibia.
tidal volume (TV),amount of air that normally enters the lungs during quiet breathing.
tight junction,forms an impermeable barrier between cells.
tissue,group of similar or closely related cells that act together to perform a specific function.
tissue factor,"protein thromboplastin, which initiates the extrinsic pathway when exposed to clotting factor VII as a result of tissue damage."
tissue membrane,"thin layer or sheet of cells that covers the outside of the body, organs, and internal cavities."
tissue typing,typing of MHC molecules between a recipient and donor for use in a potential transplantation procedure.
T lymphocytes,"(also, T cells) lymphocytes that provide cellular-level immunity by physically attacking foreign or diseased cells."
tongue,"accessory digestive organ of the mouth, the bulk of which is composed of skeletal muscle."
tonsils,lymphoid nodules associated with the nasopharynx.
topographical,relating to positional information.
total dead space,sum of the anatomical dead space and alveolar dead space.
total lung capacity (TLC),"total amount of air that can be held in the lungs; sum of TV, ERV, IRV, and RV."
total pressure,sum of all the partial pressures of a gaseous mixture.
totipotent,embryonic cells that have the ability to differentiate into any type of cell and organ in the body.
totipotent stem cell,"embryonic stem cell that is capable of differentiating into any and all cells of the body, enabling the full development of an organism."
trabeculae,(singular = trabecula) spikes or sections of the lattice-like matrix in spongy bone.
trabeculae carneae,ridges of muscle covered by endocardium located in the ventricles.
trachea,tube composed of cartilaginous rings and supporting tissue that connects the lung bronchi and the larynx; provides a route for air to enter and exit the lung.
trachealis muscle,smooth muscle located in the fibroelastic membrane of the trachea.
tract,bundle of axons in the central nervous system having the same function and point of origin.
transcription,process of producing an mRNA molecule that is complementary to a particular gene of DNA.
transcription factor,one of the proteins that regulate the transcription of genes.
transduction,process of changing an environmental stimulus into the electrochemical signals of the nervous system.
trans fat –,"fat formed artificially by hydrogenating oils, leading to a different arrangement of double bond(s) than those in naturally occurring lipids."
transferrin,plasma protein that binds reversibly to iron and distributes it throughout the body.
transient ischemic attack (TIA),temporary loss of neurological function caused by a brief interruption in blood flow; also known as a mini-stroke.
transitional epithelium,"form of stratified epithelium found in the urinary tract, characterised by an apical layer of cells that change shape in response to the presence of urine."
transfer RNA (tRNA),molecules of RNA that serve to bring amino acids to a growing polypeptide strand and properly place them into the sequence.
translation,process of producing a protein from the nucleotide sequence code of an mRNA transcript.
transpulmonary pressure,pressure difference between the intrapleural and intra-alveolar pressures.
transverse colon,part of the colon between the ascending colon and the descending colon.
transverse foramen,opening found only in the transverse processes of cervical vertebrae.
transverse plane,"two-dimensional, horizontal plane that divides the body or organ into superior and inferior portions."
transverse process,paired bony processes that extends laterally from the vertebral arch of a vertebra.
transverse sinuses,"pair of enlarged veins near the lambdoid suture that drain the occipital, sagittal, and straight sinuses, and leads to the sigmoid sinuses."
trapezium,"from the lateral side, the first of the four distal carpal bones; articulates with the scaphoid proximally, the first and second metacarpals distally, and the trapezoid medially."
trapezoid,"from the lateral side, the second of the four distal carpal bones; articulates with the scaphoid proximally, the second metacarpal distally, the trapezium laterally, and the capitate medially."
treppe,stepwise increase in contraction tension.
"triacylglycerol (also, triglyceride) –",fat molecule; consists of three fatty acids linked to a glycerol molecule.
triad,the grouping of one T-tubule and two terminal cisternae.
tricuspid valve,term used most often in clinical settings for the right atrioventricular valve.
trigeminal ganglion,sensory ganglion that contributes sensory fibres to the trigeminal nerve.
trigeminal nerve,fifth cranial nerve; responsible for cutaneous sensation of the face and contraction of the muscles of mastication.
trigone,area at the base of the bladder marked by the two ureters in the posterior–lateral aspect and the urethral orifice in the anterior aspect oriented like points on a triangle.
triiodothyronine,"(also, T3) amino acid–derived thyroid hormone that is less abundant but more potent than T4."
triplet,"consecutive sequence of three nucleotides on a DNA molecule that, when transcribed into an mRNA codon, corresponds to a particular amino acid."
triquetrum,"from the lateral side, the third of the four proximal carpal bones; articulates with the lunate laterally, the hamate distally, and has a facet for the pisiform."
trochlea,pulley-shaped region located medially at the distal end of the humerus; articulates at the elbow with the trochlear notch of the ulna.
trochlear nerve,fourth cranial nerve; responsible for contraction of one of the extraocular muscles.
trochlear notch,"large, C-shaped depression located on the anterior side of the proximal ulna; articulates at the elbow with the trochlea of the humerus."
trophoblast,"fluid-filled shell of squamous cells destined to become the chorionic villi, placenta, and associated foetal membranes."
troponin,"regulatory protein that binds to actin, tropomyosin, and calcium."
tropomyosin,regulatory protein that covers myosin-binding sites to prevent actin from binding to myosin.
true ribs,vertebrosternal ribs 1–7 that attach via their costal cartilage directly to the sternum.
true vocal cord,"one of the pair of folded, white membranes that have a free inner edge that oscillates as air passes through to produce sound."
truncus arteriosus,portion of the primitive heart that will eventually divide and give rise to the ascending aorta and pulmonary trunk.
tubercle of the rib,small bump on the posterior side of a rib for articulation with the transverse process of a thoracic vertebra.
T-tubule,projection of the sarcolemma into the interior of the cell.
trunk,large vessel that gives rise to smaller vessels.
tubuloglomerular feedback,feedback mechanism involving the JGA; macula densa cells monitor Na+ concentration in the terminal portion of the ascending loop of Henle and act to cause vasoconstriction or vasodilation of afferent and efferent arterioles to alter GFR.
tunica externa,"(also, tunica adventitia) outermost layer or tunic of a vessel (except capillaries)."
tunica intima,"(also, tunica interna) innermost lining or tunic of a vessel."
tunica media,middle layer or tunic of a vessel (except capillaries).
T wave,component of the electrocardiogram that represents the repolarisation of the ventricles.
twitch,single contraction produced by one action potential.
tympanic membrane,ear drum.
type I alveolar cell,squamous epithelial cells that are the major cell type in the alveolar wall; highly permeable to gases.
type II alveolar cell,cuboidal epithelial cells that are the minor cell type in the alveolar wall; secrete pulmonary surfactant.
